2025-09-19 10:27:28 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-09-19 10:27:29 [main] INFO  [] c.i.c.n.NotificationServiceApplication - Starting NotificationServiceApplication using Java 17.0.16 with PID 1 (/app/app.jar started by appuser in /app)
2025-09-19 10:27:29 [main] DEBUG [] c.i.c.n.NotificationServiceApplication - Running with Spring Boot v3.1.0, Spring v6.0.9
2025-09-19 10:27:29 [main] INFO  [] c.i.c.n.NotificationServiceApplication - The following 1 profile is active: "docker"
2025-09-19 10:27:33 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-09-19 10:27:33 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 0 MongoDB repository interfaces.
2025-09-19 10:27:33 [main] INFO  [] o.s.cloud.context.scope.GenericScope - BeanFactory id=99c632c8-65e1-34c1-84cc-197dcc7c2a60
2025-09-19 10:27:33 [main] INFO  [] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.interview.challenge.shared.client.PositionServiceClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-09-19 10:27:33 [main] INFO  [] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.interview.challenge.shared.client.UserServiceClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-09-19 10:27:34 [main] INFO  [] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.interview.challenge.shared.client.ArchitectFeignClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-09-19 10:27:35 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
2025-09-19 10:27:35 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
2025-09-19 10:27:35 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-19 10:27:35 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-09-19 10:27:35 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-19 10:27:35 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5543 ms
